Index,artist,title,mood,lyrics,wordcount
283,Neil Diamond,Kentucky Woman,relaxed,"Kentucky woman
She shines with her own kind of light
She'd look at you once
And a day that's all wrong
Looks all right
And I love her
God knows, I love her
Kentucky woman
If she get to know you
She goin' to own you
Kentucky woman
Well, she ain't the kind
Makes heads turn at the drop of her name
But something inside
That she's got turn you on just the same
And she loves me
God knows, she loves me
Kentucky woman
If she get to know you
She goin' to own you
Kentucky woman
I don't want much
The good Lord's earth beneath my feet
A gentle touch
From that one girl, and life is
Sweet and good
Ain't no doubt
I'm talkin' about
Kentucky woman
If she get to know you
She goin' to own you
Kentucky woman
Kentucky woman",712
284,Massive Attack,Angel,happy,"Horace Andy : You are my angel
Come from way above
To bring me love
Her eyes
She's on the dark side
Neutralize
Every man in sight
To love you, love you, love you ... You are my angel
Come from way above
To love you, love you, love you ...",238
285,Chromeo,Don't Turn The Lights On,sad,"
There must be another way
When she's gone to a better place
And loneliness will hurt you
If you can't get through the night

If every moment starts to fade
And dawn is just an hour away
I feel she's watching over
And it gets me through the night

It makes me wonder what you'd say
It's taking me back to the month of May
When I watched you do it (All night)

I'm thinking back to what we'd share
In many ways I'm already there
And I watch you do it


Don't turn the lights on
Cause tonight I want to see you in the dark
Don't turn the lights on
Cause tonight I want to see you in the dark 
Don't turn the lights on
Cause tonight I want to see you in the dark 
Don't turn the lights on
Cause tonight I want to see you in the dark 


Another walk to take
Another lonesome evening spent without you there
And only those who hurt you
Will say patience is a virtue and it's been so long
And I can't think about it
No, I can't figure it out
Cause just how real you're feeling
Every time that you're appearing leaves no room for doubt

It makes me wonder what you'd say
It's taking me back to the month of May
When I watched you do it (All night)
I'm thinking back to what we'd share
In many ways I'm already there
And I watch you do it
It makes me wonder what you'd say
It's taking me back to the month of May
When I watched you do it (All night)
I'm thinking back to what we'd share
In many ways I'm already there
And I watch you do it",1431
286,Green Day,Sassafrass Roots,sad,"Roaming 'round your house, wasting your time
No obligation, just wasting your time
So why are you alone wasting your time?
When you could be with me, wasting your time?


Well, I'm a waste like you
With nothin' else to do
May I waste your time too?


Warding off regrets, wasting your time
Smoking cigarettes, wasting your time
I'm just a parasite wasting your time
Applying myself to wasting your time


Well, I'm a waste like you
With nothin' else to do
May I waste your time too?




So why are you alone, wasting your time?
When you could be with me, wasting your time?
Well, I'm a waste like you
With nothing else to do
May I waste your time too?


May I waste your time too?
May I waste your time too?
May I waste your time too?",734
287,Vanessa Williams,Lazy Afternoon,sad,"It's a lazy afternoon
And the beetle bugs are zooming
And the tulip trees are blooming
And there's not another human in view but us two

It's a lazy afternoon
And the farmer leaves his reaping
In the meadow cows are sleeping
And the speckled trouts stop leaping upstream as we dream

A far pink cloud hangs over a hill
Unfolding like a rose
If you hold my hand and sit real still
You can hear the grass as it grows

It's a hazy afternoon
And I know a place that's quiet except for daisies running riot
And there's no one passing by it to see
Come spend this lazy afternoon with me
Come spend this lazy afternoon with me
Lazy afternoon

It's a hazy afternoon
And I know a place that's quiet except for daisies running riot
And there's no one passing by it to see
Come spend this lazy afternoon with me, with me
(Lazy afternoon, a lazy afternoon)
There's nothing like lazy, lazy afternoon
(Lazy afternoon, a lazy afternoon)
Hold my hand, let's go deep into a lazy
(Lazy afternoon, a lazy afternoon)
You and me
(Lazy afternoon)",1024
288,Jens Lekman,I'm Leaving You Because I Don't Love You,happy,"
I am leaving you because I don't love you
I am leaving you because I don't love you


Oh, it's the knowledge, it's the knowledge, it's the knowledge of future clarity
That makes my voice tremble with greater dignity


I am leaving you because I don't love you
I am leaving you because I don't love you


I'm sorry I have to be this brutally, honestly cold
But my excuses were babies of snow that I just could not hold


So you pick up your asthma inhaler and put it 'gainst your lips
Oh, those lips I've loved, that I was dreaming of
They're still red and soft, I'm so sorry I couldn't love you enough
I'm so sorry I couldn't love you enough
I'm so sorry


But I'm leaving you because I don't love you
I am leaving you because I don't love you

So you pick up your asthma inhaler and put it 'gainst your lips
Oh, those lips I've loved, that I was dreaming of
They're still red and soft, I'm so sorry I couldn't love you enough
So sorry I couldn't love you enough
I'm so sorry",976
289,Machine Head,Clenching The Fists Of Dissent,angry,"War!
Do you hear revolution's call?
It's time to fight our own denial
Warmongers keep us locked in fear
Invoke the past, a moment of tears
An ugly truth
Put forth by our youth
Under the threat of patriotic brute, so
Use your rage
It is a weapon
We now must engage
Let trumpets sound our call
Or by their lies we will fall
Gnash down our teeth in hate and sing
Sing revolution's song
When they say die
Die for America

War!
They say that freedom isn't free
It's paid with the lives
Of sons and families
Cause blood is their new currency
And oil pumps the heart of money
So fight as one
Without a fucking gun
Words are the bullets to this revolution
Use your pain
The battlegrounds, the streets are ablaze
Excess will pave their path
The winds of change, our bloodbath
Gnash down our teeth in hate and sing
Sing revolution's song
When they say die
Die for America
Power and prejudice
Actions they use to pit against
Terror, insurgency
Words uses to scare conformity
It's propaganda, it's their hypocrisy
Free to choose our own slavery
All suffer humanity

Fight
Fight -- for all that you love
Scream -- choking with foot upon threat
Blind -- star spangled eyes
Death -- no more the truth you will hide
No, more
So how do they sleep?
When our mothers weep
They're selling our souls
And our blood for oil
Our generation
Can be the fucking one
That overcomes the greed
Of corrupt nations
Have no shame
You're not alone in thinking
This is fucking insane
Rise up and take your stand
And curl the fingers of your hand
And I don't know what to do
Cause I don't have the answers
But with ever ounce of strength
I'll vow to fight this cancer
Didn't say I want to lead
I just might let you down
Didn't say believe in me
Just hold this common ground
I'm just as lost as you
And probably more confused
So fucking far from perfect
My mind wrecked from abuse
There's something fucking wrong
When war takes sons and daughters
Our lambs misled to slaughter
War!
Clenching the fists of dissent
Lies!
Clenching the fists of dissent
Fear!
Clenching the fists of dissent
Change!
Clenching to hope",2075
290,Michael Franti & Spearhead,Light Up Ya Lighter,angry,"It never makes no sense
It never makes no sense
Fire, fire, fire, light up ya lighter, fire, fire, fire

Armageddon is a deadly day
Armageddon is a deadly way
They comin for you everyday
While senators on holiday

The army recruiters in the parking lot
Hustling kids there jugglin pot
Listen, young man, listen to my plan
Gonna make you money, gonna make you a man
Bom bom here's what you get: an M-16 and a kevlar vest
You might come home with one less leg but this thing will surely keep a bullet out your chest

So, come on, come on, sign up, come on
This one's nothing like Vietnam
Except for the bullets, except for the bombs, except for the youth that's gone

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire
Tell me, President, tell me if you will
How many people does a smart bomb kill?
How many of 'em do you think we got?
The general says we never miss a shot
And we never ever ever keep a body count
We killin so efficiently, we can't keep count
In the Afghan hills, the rebels still fightin
Opium fields keep providin

The best heroin that money can buy and
Nobody knows where Osama been hidin
The press confrences keep on lyin
Like we don't know

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire

Some say engine, engine number nine
Machine guns on a New York transit line
The war for oil is a war for the beast
The war on terror is a war on peace
Tellin you they're gonna protect you and
Tellin you that they support the troops
And don't let them fool you with their milk and honey
No, they only want your money

One step forward and two steps back
One step forward and two steps back
Why do veterans get no respect
PTSD and a broken back

Take a look at where your money's gone seen
Take a look at what they spend it on
No excuses, no illusions
Light up ya lighter, bring it home

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire

So we keep it on 'til ya comin' home
Higher and higher
Fire, fire, fire, light up ya lighter, fire, fire, fire
Fire, fire, fire, yeah, you know, so light up ya lighter
Fire, fire, fire, fire, no, light up ya lighter",2695
291,Walls Of Jericho,A Trigger Full Of Promises,angry,"Do you forgive me?
You never lost your sight
So scream your heart out
To reject one more time

This tragic, need for hope
Won't give up
It's what, keeps us alive
Now who will survive
In this game of chess
Now hold out your hand
And give me
This final kiss

If I load this gun, would you hold in your heart and give your life for love?

So bleed (so bleed)
This hate (this hate)
With me
And fight these broken dreams

If I load this gun, would you give your life for love?

So bleed (so bleed)
This hate (this hate)
With me
And fight these broken dreams!
This is more than hopeless romantics
I will never let it die
I walk the line
And your daybreak eyes
The whispers
And the brand new scars
The brand new scars

Do you forgive me?
We will never let this die
We scream our hearts out
To reject one more time

If I load this gun, could you hold it to your heart and give your life, your love?

So bleed
This hate
With me
And fight these broken dreams

So bleed
This hate
And fight these broken dreams

If I load this gun will you hold it to your heart and give your life for love?
So bleed (so bleed)
This hate (this hate)
With me
And fight these broken dreams
And fight these broken dreams

And fight
Fight
Fight
Fight
Fight

These broken dreams",1244
292,Pat Benatar,We Live For Love,happy,"Your love's contagious, one kiss is dangerous
But I have more to risk, than you to lose
I feel passion growing
I know that love is only just one inch away, from striking us
We Live For Love
We Live For Love
When we get tired, and watch the summer fade away
Will you think of romance, what will we do?
Is there a place where we can go?
Where time stands still for those who know?
Till eternity we'll fulfill our desires
We Live For Love
We Live For Love
We Live For Love
We Live For Love
I never planned to win the race
But you convinced me face to face
There was never a chance of losing at all
We Live For Love
We Live For Love
We Live For Love
We Live For Love
We Live For Love
We Live For Love
We Live For Love (Fading)",722
293,Pink Floyd,Take Up Thy Stethoscope And Walk,angry,"Doctor Doctor, I’m in bed
Doctor Doctor, aching head
Doctor Doctor, gold is lead
Doctor Doctor, choke on bread
Doctor Doctor, underfed
Doctor Doctor, gold is lead
Doctor Doctor, Jesus bled
Doctor Doctor, pain is red
Doctor Doctor, dark doom
Gruel ghoul, greasy spoon
Used spoon, June bloom


Music seems to help the pain
Seems to motivate the brain
Doctor kindly tell your wife
That I’m alive
Flowers thrive
Realise
Realise
Realise",431
294,Skindred,Pressure,angry,"Buzzing up with a musical attack
Rip it up with a boom sound we no lack
Got the rhythms the dub play killa tracks
Annihilate and destroy them we do that

Letting them know that ah we come for rock and control again
Ho ho well
Setting the pace in the place
Volume up driving them insane
Oh that's right-o

Turn your system down
(You know the weak can't take it)
Burn it to the ground
(Watch how we shatter and we break it)

(Pressure)
Stress it just drive them underground
(Pressure)
Cannot take the music kill the sound
(Pressure)
Yeah we turn it up but never down
(Pressure)
Stress it just drive them underground
(Pressure)
Cannot take the music kill the sound
(Pressure)
Yeah we turn it up but never down
Pressure
Pressure
Pressure

And now your neighbours are banging on your door
Saying that they can't take your noise no more
Your bass is right in there face sounds murder raw
But we ain't turning it off so call the law

Let them all know that
The rockers is hard and is here to stay
Ho ho well
Tell em to move from your step
And back off and just go away
Oh that's right-o

Turn your system down
(You know the weak can't take it)
Burn it to the ground
(Watch how we shatters and we break it)

(Pressure)
Stress it just drive them underground
(Pressure)
Cannot take the music kill the sound
(Pressure)
Yeah we turn it up but never down
(Pressure)
Stress it just drive them underground
(Pressure)
Cannot take the music kill the sound
(Pressure)
Yeah we turn it up but never down
Pressure
Pressure
Pressure
Pressure

Temperature rise turn it up the heat feel the pressure
Hold uno head an feel the pain from the pressure
Cannot take the noise coz ah we bring the pressure
No bodder tell we turn the music down hold the pressure

Uno got to got to got hold the pressure
Uno got to got to got hold the pressure
Uno got to got to got hold the pressure
Uno got to got to got hold it

Stress it just drive them underground
Cannot take the music kill the sound
(Pressure)
Yeah we will turn it up but never down
(Pressure)
Stress it just drive them underground
(Pressure)
Cannot take the music kill the sound
(Pressure)
Yeah we turn it up but never down
Pressure
Pressure
Pressure",2177
295,Unwritten Law,Save Me,sad,"
Had a bad day, don't talk to me
Gonna ride this out
My little black heart breaks apart
With your big mouth, and
Well, I'm sick in my sickness
Don't touch me, you'll get this
I'm useless, lazy
Perverted, and you hate me


You can't save me
You can't change me
Well, I'm waiting for my wake up call
And everything, everything's my fault


Went to the doctor, and I asked her
To make this stop (Whoa-oh)
Got medication, a new addiction
Fuckin' thanks a lot (Whoa-oh)
Had a relapse, I'm bad at rehabs
Ruins everything (Whoa-oh)
So point your finger at the singer
He's in the pharmacy
You can't save me
You can't change me
Well, I'm waiting for my wake up call
And everything's my fault
You can't save me
You can't blame me
Well, I'm waiting here to take the fall
And everything, everything's my fault


And I'm a death threat, haven't slept yet
Baby, why the wake up call?
I'm the bad boy, tell the tabloids
Everything's my fault
Whoa-oh-whoa, whoa-oh, oh, oh-oh
Yeah, write it, write it
Whoa-oh-whoa, whoa-oh, oh, oh
Everything's my fault
Everything's my fault


I went to heaven, but couldn't get in
For what I have done
I said, ""Please take me,"" they said, ""You're crazy
You had too much fun""

You can't save me
You can't change me
Well, I'm waiting for my wake up call
Everything's my fault
You can't save me
You can't blame me
Well, I'm waiting here to take the fall
Everything, everything's my fault


You can't save me
You can't change me
(Everything's my fault)
You can't save me
You can't change me
(Everything's my fault)
You can't save me
You can't change me
(Everything's my fault)
You can't save me
You can't change me
Everything's my fault",1650
296,Peter Cetera,Glory Of Love,happy,"Tonight it's very clear, as we're both standing here,
there's so many things I want to say
I will always love you, I will never leave you alone.
Sometimes I just forget, say things I might regret,
it breaks my heart to see you crying.
I don't want to lose you,
I could never make it alone.
I am a man who would fight for your honor,
I'll be the hero you're dreaming of.
We'll live forever,knowing together that we did it all for the glory of love.
You keep me standing tall, you help me through it all,
I'm always strong when you're beside me.
I have always needed you,
I could never make it alone.
I am a man who would fight for your honor,
I'll be the hero you're dreaming of.
We'll live forever,knowing together that we did it all for the glory of love.
Just like a knight in shining armor,
from a long time ago.
Just in time I will save the day,
take you to my castle far away.
I am a man who would fight for your honor,
I'll be the hero you're dreaming of.
We'll live forever,knowing together that we did it all for the glory of love.
We'll live forever, knowing together that we did it all for the glory of love.",1118
297,Aretha Franklin,Respect,relaxed,"(oo) What you want
(oo) Baby, I got
(oo) What you need
(oo) Do you know I got it?
(oo) All I'm askin'
(oo) Is for a little respect when you come home (just a little bit)
Hey baby (just a little bit) when you get home
(just a little bit) mister (just a little bit) I ain't gonna do you wrong while you're gone
Ain't gonna do you wrong (oo) 'cause I don't wanna (oo)
All I'm askin' (oo)
Is for a little respect when you come home (just a little bit)
Baby (just a little bit) when you get home (just a little bit)
Yeah (just a little bit) I'm about to give you all of my money
And all I'm askin' in return, honey
Is to give me my profits
When you get home (just a, just a, just a, just a)
Yeah baby (just a, just a, just a, just a)
When you get home (just a little bit)
Yeah (just a little bit) Ooo, your kisses (oo)
Sweeter than honey (oo)
And guess what? (oo)
So is my money (oo)
All I want you to do (oo) for me
Is give it to me when you get home (re, re, re, re)
Yeah baby (re, re, re, re)
Whip it to me (respect, just a little bit)
When you get home, now (just a little bit) R-E-S-P-E-C-T
Find out what it means to me
R-E-S-P-E-C-T
Take care, TCB Oh (sock it to me, sock it to me
Sock it to me, sock it to me)
A little respect (sock it to me, sock it to me
Sock it to me, sock it to me)
Whoa, babe (just a little bit)
A little respect (just a little bit)
I get tired (just a little bit)
Keep on tryin' (just a little bit)
You're runnin' out of foolin' (just a little bit)
And I ain't lyin' (just a little bit)
(re, re, re, re) 'spect
When you come home (re, re, re, re)
Or you might walk in (respect, just a little bit)
And find out I'm gone (just a little bit)
I got to have (just a little bit)
A little respect (just a little bit)",1734
298,Praise Band,Awesome God,happy,"When He rolls up His sleeves
He ain't just puttin' on the ritz
(our God is an awesome God)
There is thunder in His footsteps
And lightning in His fist
(our God is an awesome God)
Well, the Lord wasn't joking
When He kicked 'em out of Eden
It wasn't for no reason that He shed his blood
His return is very close and so you better be believing
That our God is an awesome God

Our God(our God) is an awesome God
He reigns(He reigns) from heaven above
With wisdom(with wisdom) pow'r and love
Our God is an awesome God

And when the sky was starless in the void of the night
(our God is an awesome God)
He spoke into the darkness and created the light
(our God is an awesome God)
Judgment and wrath he poured out on Sodom
Mercy and grace He gave us at the cross
I hope that we have not too quickly forgotten that
Our God is an awesome God
Our God is an awesome God
Our God is an awesome God
(Our God is an awesome God)
(Our God is an awesome God)

Our God is an awesome God
Our God is an awesome God
(Our God is an awesome God)
(Our God is an awesome God)

Our God is an awesome God
Our God is an awesome God
(Our God is an awesome God)
(Our God is an awesome God)",1159
299,Elvis Costello,I Lost You,angry,"I Lost You
I Lost You
You slipped from your costume
Like an actress in this tragedy
You're just an apparition in a haunting mystery
I fear that you've passed over me...
And there's nothing I can do because
I Lost You
Just like a rich man who is careless of his change
I took you for granted
And then you went to strangers
From deep within my heart I feel a distant fading pulse
A poor woman looking for last coin in her purse
I Lost You
I Lost You
You slipped from your costume
Like an actress in this tragedy
You're just an apparition in a haunting mystery
I fear that you've passed over me...
And there's nothing I can do because
I Lost You
Just like a counterfeit you pass from palm to palm
I chased the one I surely loved to someone else's arms
I mislaid my senses, now that's easy to say
A fool who took his pleasure but then threw his love away
I Lost You
I Lost You
You slipped from your costume
Like an actress in this tragedy
You're just an apparition in a haunting mystery
I fear that you've passed over me...
And there's nothing I can do because
I Lost You",1067
300,Franz Ferdinand,Do You Want To,happy,"When I woke up tonight
I said I'm gonna make somebody love me
I?m Gonna make somebody love me
And now I know, now I know, now I know
I know that it's you
You?re Lucky, lucky, you're so lucky
Well do ya, do ya, do ya wanna
Well do ya, do ya, do ya wanna Wanna go where I never let you before
Well do ya, do ya, do ya wanna
Well do ya, do ya, do ya wanna Wanna go off what I never let you before
Well he's a friend and he's so proud of ya
He's a friend and I knew him before ya
Oh yeah
Well he's a friend and we're so proud of ya
Your famous friend well I blew him before ya
Oh yeah
Well do ya, do ya, do ya wanna
Well do ya, do ya, do ya wanna Wanna go where I never let you before
Here we are at the transmission party
I love your friends
They're all so arty
Oh yeah
When I woke up tonight
I said I'm gonna make somebody love me
I?m Gonna make somebody love me
And now I know, now I know, now I know
I know that it's you
You?re Lucky, lucky, you're so lucky
Well do ya, do ya, do ya wanna Well do ya, do ya, do ya wanna Wanna go off what I never let you before
Lucky, lucky, you're so lucky Lucky, lucky, you're so lucky Lucky, lucky, you're so lucky Lucky, lucky, you're so lucky
Lucky, lucky, you're so lucky Lucky, lucky, you're so lucky
Yeahhh!!",1249
301,Anita Baker,Lead Me Into Love,happy,"
We may never understand
If love just happens or it's planned
We must believe our spirits know somehow
Baby, we can't stop the falling we feel now, ooh
New emotions overflow
And now this heartbeat wants control, ooh baby
If the love was meant to be so strong
Something close to magic's coming on


Take my heart and lead me into love
Light the way for me
Without your touch, I cannot see
Lead me into love
I'm deep in the miracle of you, ooh


When we feel excitement rise
We'll share the secrets found in lovers eyes
You'll speak the words of love
I'll speak them too
Baby, ain't no stopping me when I'm near you
Honey, take this heart


And lead me into love
Light the way for me
Without your touch, I cannot see
Lead me into love
I'm deep in the miracle
(Deep in the miracle of you)
(Light the way so I can see, light the way so I can see)
Baby, yeah
I...I keep telling you
(You make a miracle, baby; you make a miracle)
I need you to bring me the miracle
(Tell me, let your heart speak)
Honey, won't you
(Love me)
Baby, I see
I know that there's no good, baby
Can you show me that your desire is complete and I'm all yours


Lead me into love
Light the way so I can see
(Show me)
Lead me into love
(Teach me the way, baby)
Deep in the miracle, deep in the miracle

Lead me into love
(Come on, show me)
Light the way so I can see
(Shine, shine your light on me)
Lead me into love
(I can't see without you)
Deep in the miracle, deep in the miracle
(I can't move without you, I can't live without you)
Lead me into love
Light the way so I can see
(Baby, shine, shine your light on me)
Lead me into love
Deep in the miracle, deep in the miracle",1644
302,Jack Ingram,Love You,happy,"Dang this sun dang this day
Yea I'm just tryin' to stay out of your danged ole way
The heck with this the heck with us
Shoot if I'll ever look back on where I've been
Shoot if I'll ever get away my heart again
Love you love this town
Love this mother loving truck
Keeps on breaking loving down
There's only one little four letter word that will do
Love you
Love your cat love this house
I can't believe myself that I'm loving getting' out
Love talking love fighting
And the thought of never seeing your loving face
Well there's some words that some words just have to replace
So love you love this town
I'm sick and loving tired of all you're loving around
There's only one four letter word that will do
Love you
So love you love this town
I'm sick and loving tired of all you're loving around
There's only one four letter word that will do
Love you
So love you love this town
Love this mother loving truck
That keeps on breaking loving down
There's only one four letter word that will do
So love you, love you, love you, love you",1030
303,Vince Gill,Do You Hear What I Hear,relaxed,"
Said the nightman to the little lamb
Do you see what I see
Way up in the sky, little lamb
Do you see what I see


A star, a star
Dancing in the night
With a tail as big as a kite
A star, a star
Dancing in the night
With a tail as big as a kite


Said the little lamb to the shepard boy
Do you hear what I hear
Ringing through the sky, shepard boy
Do you hear what I hear


A song, a song
High above the trees
With a voice as big as the sea
A song, a song
High above the trees
With a voice as big as the sea


Said the shepard boy the mighty king
Do you know what I know
In your palace warm, mighty king
Do you know what I know

A child, a child
Shivers in the cold
Let us bring him silver a gold
Let us bring him silver and gold


Said the king to the people everywhere
Listen to what I say
Pray for peace, people everywhere
Listen to what I say


A child, a child
Sleeping in the night
He will bring us goodness and light
A child, a child
Sleeping in the night
He will bring us goodness and light",998
304,Hot Snakes,Braintrust,relaxed,"The sun is out
Spinning on its axis
Lead white vapor in the clouds
The pavement sucks right through the grates
The pavement sucks right through the ground
Don't go to Harvard
Don't go to Yale
Your disposition
Will only make you fail
You got a brain trust
You got a bloodlust
The grey area fucks with your sight

Sun up, sun up
The sun is sinking
Sun up, sun up
The sun is down
Sun up, sun up
The sun is sinking
Sun up, sun up
The sun is out",440
305,Black Rebel Motorcycle Club,Ain't No Easy Way,relaxed,"
It's easy to fall in love
When you fall in love you know you're done
You got easy eyes to hunt
When the world above needs your blood
In the cold veins of the richest man
He'll pay your way to steal her hand


There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out


It's easy to fall in love
When you've run your luck you know you're done
And the last kiss had a fool's cost
Now your tired eyes could only haunt


There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
There ain't no easy way
No there ain't no easy way out
(It's easy to fall in love
When you fall in love you know you're done)
There ain't no easy way
No there ain't no easy way out
(It's easy to fall in love
When you fall in love you know you're done)",1271
306,Martha & The Muffins,Echo Beach,relaxed,"I know it's out of fashion
And a trifle uncool
But I can't help it
I'm a romantic fool
It's a habit of mine
To watch the sun go down
On Echo Beach, I watch the sun go down


From nine to five, I have to spend my time at work
My job is very boring, I'm an office clerk
The only thing that helps me pass the time away
Is knowing I'll be back at Echo Beach someday


On a silent summer evening
The sky's alive with lights
A building in the distance
Surrealistic sight
On Echo Beach
Waves make the only sound
On Echo Beach
There's not a soul around


From nine to five, I have to spend my time at work
My job is very boring, I'm an office clerk
The only thing that helps me pass the time away
Is knowing I'll be back at Echo Beach someday
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time
Echo Beach, far away in time",1198
307,Paul McCartney,Another Day,sad,"Every day she takes a morning bath s e wets her hair,
Wraps a towel around her
As shes heading for the bedroom chair,
Its just another day.
Slipping into stockings,
Stepping into shoes,
Dipping in the pocket of her raincoat.
Ah, its just another day.
At the office where the papers grow she takes a break,
Drinks another coffee
And she finds it hard to stay awake,
Its just another day. du du du du du
Its just another day. du du du du du
Lts just another day.
Ay
So sad, so sad,
Sometimes she feels so sad.
Alone in her apartment shed dwell,
Till the man of her dreams comes to break the spell.
Ah, stay, dont stand around
And he comes and he stays
But he leaves the next day,
So sad.
Sometimes she feels so sad.
As she posts another letter to the sound of five,
People gather round her
And she finds it hard to stay alive,
Its just another day. du du du du du
Its just another day. du du du du du
Its just another day.
Ay
So sad, so sad,
Sometimes she feels so sad.
Alone in her apartment shed dwell,
Till the man of her dreams comes to break the spell.
Ah, stay, dont stand around
And he comes and he stays
But he leaves the next day,
So sad.
Sometimes she feels so sad.
Every day she takes a morning bath she wets her hair,
Wraps a towel around her
As shes heading for the bedroom chair,
Its just another day.
Slipping into stockings,
Stepping into shoes,
Dipping in the pockets of her raincoat.
Ah, its just another day. du du du du du
Its just another day. du du du du du
Its just another day.",1499
308,KMFDM,WWIII,angry,"




I declare war on the world
War in outer space
I declare war in a nutshell
War all over the place
I declare war on every government
War against all odds
I declare war on your inner sanctum
On your bloodthirsty gods


World War Three - be all that you can be
World War Three


I declare war on the axis of morons
All-out war on complacent consent
I declare war on the war against drugs
Rape and slaughter of the innocent
War on Big Brother
Warmongers and profiteers
War on your dogma, Dubya
Armageddon's engineers

World War Three


""We're in for a long and difficult war
It will be conducted on many fronts
But as long as it takes
We will prevail""


World War Three - be all that you can be
World War Three


War in a heartbeat
I declare war on so-called civilization
World trade globalization
Organized disinformation
War on ambassadors of pretense
War on MTV and CNN
McDonald's, Walt Disney, and Bethlehem
On Christina, Britney and Eminem

""Across the world, governments
Have heard that this message:
You're either with us
Or you're with the terrorists""
""Tyranny, terror, and lawless violence""

I declare war on the world of anti-choice
On violent unilaterality
On the amassment of murderous high-tech toys
And all crimes against humanity
War on the Moral Majority
On corporate dotcom imperialism
On mindlessly bumbling stupidity
And police-state terrorism


World War Three
World War Three - be all that you can be
World War Three - be all that you can be
World War Three


""Tyranny, terror, and lawless violence
The future belongs to the free""",1551
309,Brandon Heath,Love Never Fails,happy,"
Love is not proud
Love does not boast
Love after all
Matters the most
Love does not run
Love does not hide
Love does not keep
Locked inside
Love is the river that flows through


And love never fails you


Love will sustain
Love will provide
Love will not cease
At the end of time
Love will protect
Love always hopes
Love still believes
When you don't
Love is the arms that are holding you


Love never fails you

When my heart won't make a sound
When I can't turn back around
When the sky is falling down
Nothing is greater than this
Greater than this


'Cause love is right here
Love is alive
Love is the way
The truth, the life
Love is the river than flows through
Love is the arms that are holding you
And love is the place you will fly to


Love never fails you",767
310,The Oak Ridge Boys,Fancy Free,relaxed,"I'm setting Fancy free, because she wants to go
She's tired of loving me, she told me so
I guess she don't know just how much she means to me
But along with all my dreams I'm setting Fancy free
Yes I'm setting Fancy free, even though I love her still
She'd be no good to me if I held her against her will
Even thou that girl, she's the best part of my world
Along with all my dreams I'm setting Fancy free
Oh Lord you just don't know how it hurts to say goodbye
She did her best to stay, I can't say she did not try
I just hope the road she takes leads back to me
So along with all my dreams I'm setting Fancy free
Yes I'm setting Fancy free, even though I love her still
She'd be no good to me if I held her against her will
Even thou that girl, she's the best part of my world
Along with all my dreams I'm setting Fancy free
Yes I'm setting Fancy free, even though I love her still
She'd be no good to me if I held her against her will
Even thou that girl, she's the best part of my world
Along with all my dreams I'm setting Fancy free
Yes I'm setting Fancy free, even though I love her still
She'd be no good to me if I held her against her will
Even thou that girl, she's the best part of my world",1202
